Rarity,quest points,FLOWER NAMES
SS Rare,25,Warm Gold Abode
SS Rare,25,Wavelet Swing
Ultra Rare,28,Angel Plume
Ultra Rare,28,Angel of Paradise
Ultra Rare,28,Aquarius Trails
Ultra Rare,28,Aries-Trace
Ultra Rare,28,Blooming Innocence
Ultra Rare,28,Capricorn Veil
Ultra Rare,28,Christmas Cutie
Ultra Rare,30,Cloudwhales Ballad
Ultra Rare,28,Cupidulip
Ultra Rare,30,Dragon Grace
Ultra Rare,28,Easter Bunny
Ultra Rare,30,Forest Hart
Ultra Rare,28,Gemini:Twin Star Shadows
Ultra Rare,30,Heavenly Palace
Ultra Rare,30,Jade Branch Floral Realm
Ultra Rare,,Lazy Hour
Ultra Rare,28,Moonlake Peony
Ultra Rare,28,Pisces-Abyss
Ultra Rare,28,Sparkling Dreamland
Ultra Rare,28,Spring-Herald Rabbit
Ultra Rare,28,Taurus Bounty
Ultra Rare,28,Twigwitch
Ultra Rare,28,Sugarfrost Witch
Ultra Rare,28,Wave-Riding Summer Witch
